10.155.9.126;16003756;AM-101;00125F173334;PAPOL320AIR26;AIRMEDIA;BG;5;5.13-SAN-ANTONIO;GPD4/P05/09;POL32-A-MDF-AS1 SW1 Gi1/0/39
10.155.9.127;16003754;AM-101;00125F173332;PAPOL320AIR27;AIRMEDIA;BG;5;5.34-POLSKA;GPD5/P15/11;POL32-A-MDF-AS1 SW5 Gi5/0/4
10.155.9.129;16003751;AM-101;00125F17332F;PAPOL320AIR29;AIRMEDIA;BG;5;5.35-FARGO;GPD5/P12/05;POL32-A-MDF-AS1 SW5 Gi5/0/3
10.155.9.117;16003708;AM-101;00125F173304;PAPOL320AIR17;AIRMEDIA;BG;5;5.36-HONOLULU;GPD5/P12/09;POL32-A-MDF-AS1 SW5 Gi5/0/2
10.155.9.123;16003760;AM-101;00125F173338;PAPOL320AIR23;AIRMEDIA;BG;5;5.37-JACKSON;GPD5/P12/15;POL32-A-MDF-AS1 SW5 Gi5/0/40








10.155.9.134;16003764;AM-101;00125F17333C;PAPOL320AIR34;AIRMEDIA;BG;5;5.10-MANAGER OFFICE;GPD4/P05/01;POL32-A-MDF-AS1 SW1 Gi1/0/47
10.155.9.128;16003771;AM-101;00125F173343;PAPOL320AIR28;AIRMEDIA;BG;5;5.05-MIAMI;GPD5/P14/06;POL32-A-MDF-AS1 SW2 Gi2/0/40
10.155.8.170;x;x;x;LRSEMAWROCSAOPA;SRS;BG;3;WRO-3-Sao-Paulo-11;x;x
10.155.9.51;x;x;x;LRSEMAWROCBOGOT;SRS;BG;3;WRO-3-Bogota-6;x;x
10.155.26.59;x;x;x;LRSEMAWROCSEOUL;SRS;BG;4;WRO-4-Seoul-10;x;x
10.155.26.42;x;x;x;LRSEMAWROCSHANG;SRS;BG;4;WRO-4-Shanghai-6;x;x
10.155.24.27;x;x;x;LRSEMAWROCMIAMI;SRS;BG;5;WRO-5-Miami-4;x;x
10.155.24.28;x;x;x;LRSEMAWROCSANAN;SRS;BG;5;WRO-5-San-Antonio-9;x;x
10.155.24.225;x;x;x;LRSEMAWROCSAOPA;SRS;BG;5;WRO-5-Polska-18;x;x
